id,first_name,last_name,email,gender,ip_address,homeowner,income,show_date,purchases,avg,success_rate
1,Annie,Palmer,apalmer0@pbs.org,Female,223.138.32.129,false,$436.36,7/15/2015,8386,89.41,6.44%
2,Clarence,Kelly,ckelly1@cdbaby.com,Male,168.99.67.214,false,$219.91,4/9/2015,1087,43.07,68.34%
3,Jane,Fisher,jfisher2@whitehouse.gov,Female,40.229.146.102,false,$347.60,3/18/2016,9253,19.69,30.97%
4,Tammy,Arnold,tarnold3@weibo.com,Female,82.81.101.79,true,$263.92,8/25/2015,214,35.8,8.98%
5,Clarence,Crawford,ccrawford4@cisco.com,Male,90.252.127.108,true,$331.02,12/15/2015,7731,40.26,37.7%
6,Diana,Marshall,dmarshall5@tiny.cc,Female,120.38.133.173,false,$102.76,12/12/2015,6499,34.48,76.38%
7,Benjamin,Johnston,bjohnston6@tinypic.com,Male,133.180.26.178,true,$908.20,5/6/2015,5274,93.21,11.68%
8,Nicole,Ruiz,nruiz7@twitpic.com,Female,176.192.87.162,false,$650.32,12/1/2015,8609,28.38,37.2%
9,Bonnie,Little,blittle8@psu.edu,Female,162.137.112.211,false,$903.54,4/7/2015,4956,71.24,24.91%
10,Anne,Cooper,acooper9@oaic.gov.au,Female,130.196.171.28,true,$700.78,1/21/2016,7868,3.77,71.17%
11,Willie,Turner,wturnera@histats.com,Male,147.1.220.112,false,$972.54,4/20/2015,3874,33.88,46.44%
12,George,Hill,ghillb@chron.com,Male,201.64.154.65,true,$900.35,5/22/2015,3978,52.17,66.48%
13,Helen,Peterson,hpetersonc@infoseek.co.jp,Female,19.61.114.187,false,$988.54,5/13/2015,1253,36.35,41.86%
14,Craig,Hawkins,chawkinsd@boston.com,Male,199.248.188.178,true,$961.68,2/20/2016,5787,11.94,26.22%
15,Jose,Armstrong,jarmstronge@histats.com,Male,34.183.56.19,false,$741.67,7/2/2015,5397,86.35,35.4%
16,Julia,Sanders,jsandersf@columbia.edu,Female,219.122.35.127,true,$586.64,4/4/2015,4967,24.58,93.42%
17,Debra,Lopez,dlopezg@umn.edu,Female,13.73.238.95,false,$601.65,4/2/2015,97,27.05,69.7%
18,Jason,Hudson,jhudsonh@amazonaws.com,Male,185.211.83.236,false,$554.39,11/16/2015,9399,24.12,30.82%
19,Daniel,Lewis,dlewisi@prweb.com,Male,195.199.241.17,true,$84.96,6/24/2015,4127,21.66,4.93%
